#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	4         	ok              	1.3850000000e-02	2.2340000000e+02	9.3764104332e+17	4.4903777944e+17	5.1993456663e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	1.1500000000e-02	2.1590000000e+02	8.0559210774e+17	3.8579933522e+17	5.1993456664e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	9.5450000000e-03	2.0990000000e+02	6.8775459234e+17	3.2936676261e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	7.9250000000e-03	2.0510000000e+02	5.8439112980e+17	2.7986583683e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	6.5790000000e-03	2.0100000000e+02	4.9503263853e+17	2.3707191396e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	5.4620000000e-03	1.9740000000e+02	4.1847985092e+17	2.0041066283e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	4.5350000000e-03	1.9430000000e+02	3.5299982951e+17	1.6905217696e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	4         	ok              	3.7650000000e-03	1.9160000000e+02	2.9719361908e+17	1.4232649447e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	3.1260000000e-03	1.8930000000e+02	2.4975164911e+17	1.1960645998e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	2.5950000000e-03	1.8730000000e+02	2.0954127862e+17	1.0034964992e+17	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	4         	ok              	2.1540000000e-03	1.8590000000e+02	1.7524123857e+17	8.3923306463e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	1.7890000000e-03	1.8490000000e+02	1.4633339018e+17	7.0079292125e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	1.4850000000e-03	1.8430000000e+02	1.2186279179e+17	5.8360283829e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	1.2330000000e-03	1.8450000000e+02	1.0107336178e+17	4.8404192903e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	1.0240000000e-03	1.8510000000e+02	8.3668800474e+16	4.0069120949e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	8.4980000000e-04	1.8580000000e+02	6.9173702526e+16	3.3127395604e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	7.0550000000e-04	1.8660000000e+02	5.7181478910e+16	2.7384300737e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	5.8570000000e-04	1.8740000000e+02	4.7268915935e+16	2.2637158642e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	4.8630000000e-04	1.8810000000e+02	3.9100785210e+16	1.8725427912e+16	5.1993456665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	4.0370000000e-04	1.8880000000e+02	3.2339013250e+16	1.5487204621e+16	5.1993456664e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	3.3520000000e-04	1.8960000000e+02	2.6738416368e+16	1.2805069911e+16	5.1993456664e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	2.7830000000e-04	1.9060000000e+02	2.2083114022e+16	1.0575638251e+16	5.1993456663e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	2.3100000000e-04	1.9170000000e+02	1.8224678337e+16	8.7278272959e+15	5.1993456662e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
